Step,Time,E_kin,E_pot,E_tot
  1,     0.00500000,     5.86783780,-55598.19855434,-55592.33071654
  2,     0.01000000,  6018.42826104,-55597.42442580,-49578.99616476
  3,     0.01500000,  2800.22368092,-55596.04883753,-52795.82515661
  4,     0.02000000,  2839.48589011,-55593.97136255,-52754.48547244
  5,     0.02500000,  2838.52400009,-55591.20046088,-52752.67646079
  6,     0.03000000,  2838.41696785,-55587.73591621,-52749.31894836
  7,     0.03500000,  2838.26432474,-55583.57722807,-52745.31290334
  8,     0.04000000,  2838.08573211,-55578.72333055,-52740.63759843
  9,     0.04500000,  2837.88086504,-55573.17261582,-52735.29175078
 10,     0.05000000,  2837.64981803,-55566.92294726,-52729.27312923
 11,     0.05500000,  2837.39266573,-55559.97167162,-52722.57900589
 12,     0.06000000,  2837.10947567,-55552.31563007,-52715.20615440
 13,     0.06500000,  2836.80031089,-55543.95116821,-52707.15085732
 14,     0.07000000,  2836.46523267,-55534.87414507,-52698.40891240
 15,     0.07500000,  2836.10430302,-55525.07994118,-52688.97563816
 16,     0.08000000,  2835.71758716,-55514.56346579,-52678.84587864
 17,     0.08500000,  2835.30515577,-55503.31916319,-52668.01400741
 18,     0.09000000,  2834.86708730,-55491.34101827,-52656.47393097
 19,     0.09500000,  2834.40347012,-55478.62256140,-52644.21909127
 20,     0.10000000,  2833.91440476,-55465.15687248,-52631.24246772
 21,     0.10500000,  2833.40000605,-55450.93658446,-52617.53657841
 22,     0.11000000,  2832.86040541,-55435.95388616,-52603.09348076
 23,     0.11500000,  2832.29575303,-55420.20052453,-52587.90477150
 24,     0.12000000,  2831.70622028,-55403.66780634,-52571.96158606
 25,     0.12500000,  2831.09200213,-55386.34659940,-52555.25459727
 26,     0.13000000,  2830.45331962,-55368.22733326,-52537.77401364
 27,     0.13500000,  2829.79042261,-55349.29999947,-52519.50957686
 28,     0.14000000,  2829.10359253,-55329.55415144,-52500.45055892
 29,     0.14500000,  2828.39314540,-55308.97890393,-52480.58575853
 30,     0.15000000,  2827.65943502,-55287.56293213,-52459.90349711
 31,     0.15500000,  2826.90285630,-55265.29447053,-52438.39161423
 32,     0.16000000,  2826.12384895,-55242.16131143,-52416.03746249
 33,     0.16500000,  2825.32290133,-55218.15080329,-52392.82790196
 34,     0.17000000,  2824.50055464,-55193.24984880,-52368.74929416
 35,     0.17500000,  2823.65740736,-55167.44490289,-52343.78749553
 36,     0.18000000,  2822.79412007,-55140.72197061,-52317.92785054
 37,     0.18500000,  2821.91142065,-55113.06660493,-52291.15518428
 38,     0.19000000,  2821.01010980,-55084.46390461,-52263.45379481
 39,     0.19500000,  2820.09106700,-55054.89851207,-52234.80744508
 40,     0.20000000,  2819.15525699,-55024.35461154,-52205.19935455
 41,     0.20500000,  2818.20373665,-54992.81592725,-52174.61219059
 42,     0.21000000,  2817.23766242,-54960.26572211,-52143.02805969
 43,     0.21500000,  2816.25829828,-54926.68679673,-52110.42849844
 44,     0.22000000,  2815.26264196,-54892.06148892,-52076.79884697
 45,     0.22500000,  2814.25078016,-54856.37124323,-52042.12046307
